0,Image sharpness,Ringing,CNR subcortical structures,CNR GM and WM
SDSU-0050193,1,1,1,1
SDSU-0050194,1,1,1,1
SDSU-0050196,1,1,1,1
SDSU-0050199,1,1,1,1
SDSU-0050202,1,1,1,1
SDSU-0050203,1,1,1,1
SDSU-0050205,1,1,1,1
SDSU-0050213,1,1,1,1
SDSU-0050214,1,1,1,1
SDSU-0050215,1,1,1,1
Trinity-0050233,1,1,1,1
Trinity-0050234,1,1,1,1
Trinity-0050236,1,1,1,1
Trinity-0050237,1,1,1,1
Trinity-0050239,1,1,1,1
Trinity-0050240,1,1,1,1
Trinity-0050245,1,1,1,1
Trinity-0050247,1,1,1,1
Trinity-0050251,1,1,1,1
Trinity-0050253,1,1,1,1
Trinity-0050254,1,1,1,1
Trinity-0050255,1,1,1,1
Trinity-0050260,1,1,1,1
Trinity-0050261,1,1,1,1
Trinity-0050262,1,1,1,1
Trinity-0050263,1,1,1,1
Trinity-0050264,1,1,1,1
Trinity-0050266,1,1,1,1
Trinity-0050267,1,1,1,1
Trinity-0050268,1,1,1,1
Trinity-0050269,1,1,1,1
Trinity-0050270,1,1,1,1
Trinity-0050271,1,1,1,1
Trinity-0051132,1,1,1,1
Trinity-0051134,1,1,1,1
Trinity-0051135,1,1,1,1
Trinity-0051138,1,1,1,1
Trinity-0051139,1,1,1,1
Trinity-0051140,1,1,1,1
Trinity-0051141,1,1,1,1
Trinity-0051142,1,1,1,1
UCLA-1-0051202,1,1,1,1
UCLA-1-0051204,1,1,1,1
UCLA-1-0051205,1,1,1,1
UCLA-1-0051206,1,1,1,1
UCLA-1-0051207,1,1,1,1
UCLA-1-0051208,1,1,1,1
UCLA-1-0051210,1,1,1,1
UCLA-1-0051217,1,1,1,1
UCLA-1-0051218,1,1,1,1
UCLA-1-0051224,1,1,1,1
UCLA-1-0051225,1,1,1,1
UCLA-1-0051226,1,1,1,1
UCLA-1-0051229,1,1,1,1
UCLA-1-0051230,1,1,1,1
UCLA-1-0051231,1,1,1,1
UCLA-1-0051235,1,1,1,1
UCLA-1-0051236,1,1,1,1
UCLA-1-0051237,1,1,1,1
UCLA-1-0051240,1,1,1,1
UCLA-1-0051241,1,1,1,1
UCLA-1-0051248,1,1,1,1
UCLA-1-0051251,1,1,1,1
UCLA-1-0051255,1,1,1,1
UCLA-1-0051262,1,1,1,1
UCLA-1-0051264,1,1,1,1
UCLA-1-0051265,1,1,1,1
UCLA-1-0051266,1,1,1,1
UCLA-1-0051269,1,1,1,1
UCLA-1-0051271,1,1,1,1
UCLA-1-0051272,1,1,1,1
UCLA-1-0051275,1,1,1,1
UCLA-1-0051276,1,1,1,1
UCLA-1-0051279,1,1,1,1
UCLA-1-0051280,1,1,1,1
UCLA-1-0051281,1,1,1,1
UCLA-2-0051298,1,1,1,1
UCLA-2-0051300,1,1,1,1
UCLA-2-0051313,1,1,1,1
UM-1-0050285,1,1,1,1
UM-1-0050287,1,1,1,1
UM-1-0050289,1,1,1,1
UM-1-0050292,1,1,1,1
UM-1-0050301,1,1,1,1
UM-1-0050310,1,1,1,1
UM-1-0050314,1,1,1,1
UM-1-0050315,1,1,1,1
UM-1-0050318,1,1,1,1
UM-1-0050319,1,1,1,1
UM-1-0050320,1,1,1,1
UM-1-0050321,1,1,1,1
UM-1-0050324,1,1,1,1
UM-1-0050329,1,1,1,1
UM-1-0050338,1,1,1,1
UM-1-0050340,1,1,1,1
UM-1-0050341,1,1,1,1
UM-1-0050347,1,1,1,1
UM-1-0050351,1,1,1,1
UM-1-0050355,1,1,1,1
UM-1-0050356,1,1,1,1
UM-1-0050358,1,1,1,1
UM-1-0050360,1,1,1,1
UM-1-0050361,1,1,1,1
UM-1-0050362,1,1,1,1
UM-1-0050364,1,1,1,1
UM-1-0050365,1,1,1,1
UM-1-0050368,1,1,1,1
UM-1-0050369,1,1,1,1
UM-1-0050370,1,1,1,1
UM-1-0050372,1,1,1,1
UM-1-0050374,1,1,1,1
UM-1-0050375,1,1,1,1
UM-1-0050376,1,1,1,1
UM-1-0050377,1,1,1,1
UM-1-0050379,1,1,1,1
UM-1-0050380,1,1,1,1
UM-1-0050381,1,1,1,1
UM-2-0050382,1,1,1,1
UM-2-0050385,1,1,1,1
UM-2-0050386,1,1,1,1
UM-2-0050388,1,1,1,1
UM-2-0050390,1,1,1,1
UM-2-0050391,1,1,1,1
UM-2-0050397,1,1,1,1
UM-2-0050399,1,1,1,1
UM-2-0050404,1,1,1,1
UM-2-0050405,1,1,1,1
UM-2-0050406,1,1,1,1
UM-2-0050414,1,1,1,1
UM-2-0050415,1,1,1,1
UM-2-0050416,1,1,1,1
UM-2-0050417,1,1,1,1
UM-2-0050418,1,1,1,1
UM-2-0050421,1,1,1,1
UM-2-0050426,1,1,1,1
UM-2-0050427,1,1,1,1
USM-0050433,1,1,1,1
USM-0050434,1,1,1,1
USM-0050435,1,1,1,1
USM-0050437,1,1,1,1
USM-0050438,1,1,1,1
USM-0050439,1,1,1,1
USM-0050440,1,1,1,1
USM-0050442,1,1,1,1
USM-0050443,1,1,1,1
USM-0050444,1,1,1,1
USM-0050445,1,1,1,1
USM-0050446,1,1,1,1
USM-0050447,1,1,1,1
USM-0050449,1,1,1,1
USM-0050453,1,1,1,1
USM-0050455,1,1,1,1
USM-0050467,1,1,1,1
USM-0050468,1,1,1,1
USM-0050469,1,1,1,1
USM-0050470,1,1,1,1
USM-0050477,1,1,1,1
USM-0050481,1,1,1,1
USM-0050482,1,1,1,1
USM-0050483,1,1,1,1
USM-0050485,1,1,1,1
USM-0050487,1,1,1,1
USM-0050488,1,1,1,1
USM-0050491,1,1,1,1
USM-0050492,1,1,1,1
USM-0050493,1,1,1,1
USM-0050494,1,1,1,1
USM-0050498,1,1,1,1
USM-0050499,1,1,1,1
USM-0050500,1,1,1,1
USM-0050501,1,1,1,1
USM-0050502,1,1,1,1
USM-0050503,1,1,1,1
USM-0050504,1,1,1,1
USM-0050507,1,1,1,1
USM-0050509,1,1,1,1
USM-0050510,1,1,1,1
USM-0050514,1,1,1,1
USM-0050516,1,1,1,1
USM-0050518,1,1,1,1
USM-0050519,1,1,1,1
USM-0050520,1,1,1,1
USM-0050521,1,1,1,1
USM-0050523,1,1,1,1
USM-0050525,1,1,1,1
USM-0050526,1,1,1,1
USM-0050527,1,1,1,1
USM-0050529,1,1,1,1
USM-0050530,1,1,1,1
USM-0050531,1,1,1,1
USM-0050532,1,1,1,1
Yale-0050558,1,1,1,1
Yale-0050602,1,1,1,1
Yale-0050616,1,1,1,1
Yale-0050619,1,1,1,1
Yale-0050620,1,1,1,1
Yale-0050625,1,1,1,1
CMU-a-0050646,1,1,1,1
CMU-a-0050653,1,1,1,1
CMU-a-0050660,1,1,1,1
CMU-a-0050663,1,1,1,1
CMU-a-0050666,1,1,1,1
CMU-a-0050668,1,1,1,1
CMU-b-0050643,1,1,1,1
CMU-b-0050645,1,1,1,1
CMU-b-0050652,1,1,1,1
CMU-b-0050655,1,1,1,1
CMU-b-0050657,1,1,1,1
CMU-b-0050658,1,1,1,1
CMU-b-0050661,1,1,1,1
CMU-b-0050667,1,1,1,1
Caltech-0051456,1,1,1,1
Caltech-0051457,1,1,1,1
Caltech-0051458,1,1,1,1
Caltech-0051460,1,1,1,1
Caltech-0051462,1,1,1,1
Caltech-0051467,1,1,1,1
Caltech-0051468,1,1,1,1
Caltech-0051469,1,1,1,1
Caltech-0051470,1,1,1,1
Caltech-0051471,1,1,1,1
Caltech-0051472,1,1,1,1
Caltech-0051474,1,1,1,1
Caltech-0051476,1,1,1,1
Caltech-0051483,1,1,1,1
Caltech-0051490,1,1,1,1
KKI-0050793,1,1,1,1
KKI-0050802,1,1,1,1
KKI-0050804,1,1,1,1
KKI-0050819,1,1,1,1
Leuven-1-0050710,1,1,1,1
Leuven-2-0050727,1,1,1,1
OHSU-0050166,1,1,1,1
USM-0050505,1,1,1,1
CMU-b-0050650,1,1,1,1
KKI-0050803,1,1,1,1
NYU-0050959,1,1,1,1
NYU-0051028,1,1,1,1
CMU-a-0050654,1,1,1,1
CMU-a-0050664,1,1,1,1
CMU-a-0050665,1,1,1,1
Caltech-0051461,1,1,1,1
KKI-0050818,1,1,1,1
Leuven-1-0050694,1,1,1,1
Leuven-1-0050711,1,1,1,1
MaxMun-a-0051319,1,1,1,1
MaxMun-a-0051364,1,1,1,1
MaxMun-c-0051334,1,1,1,1
MaxMun-c-0051340,1,1,1,1
MaxMun-c-0051342,1,1,1,1
MaxMun-c-0051344,1,1,1,1
MaxMun-c-0051345,1,1,1,1
MaxMun-d-0051331,1,1,1,1
MaxMun-d-0051357,1,1,1,1
NYU-0050964,1,1,1,1
NYU-0051065,1,1,1,1
NYU-0051106,1,1,1,1
Olin-0050115,1,1,1,1
Olin-0050116,1,1,1,1
Pitt-0050045,1,1,1,1
Pitt-0050046,1,1,1,1
Pitt-0050047,1,1,1,1
Trinity-0050243,1,1,1,1
Trinity-0050257,1,1,1,1
Trinity-0050259,1,1,1,1
UCLA-1-0051203,1,1,1,1
UCLA-1-0051214,1,1,1,1
UCLA-1-0051220,1,1,1,1
UCLA-1-0051221,1,1,1,1
UCLA-1-0051222,1,1,1,1
UCLA-1-0051223,1,1,1,1
UCLA-1-0051234,1,1,1,1
UCLA-1-0051249,1,1,1,1
UCLA-1-0051252,1,1,1,1
UCLA-1-0051260,1,1,1,1
UCLA-1-0051261,1,1,1,1
UCLA-1-0051267,1,1,1,1
UCLA-1-0051273,1,1,1,1
UCLA-1-0051277,1,1,1,1
UCLA-2-0051291,1,1,1,1
UCLA-2-0051294,1,1,1,1
UCLA-2-0051306,1,1,1,1
UCLA-2-0051307,1,1,1,1
UCLA-2-0051308,1,1,1,1
UCLA-2-0051311,1,1,1,1
UCLA-2-0051315,1,1,1,1
UM-1-0050286,1,1,1,1
USM-0050441,1,1,1,1
USM-0050448,1,1,1,1
USM-0050466,1,1,1,1
USM-0050480,1,1,1,1
USM-0050486,1,1,1,1
USM-0050515,1,1,1,1
